x_m,y_m
5.475990675990692225e+00,1.800000000000005373e+00
5.495804195804209868e+00,1.900000000000005462e+00
5.525990675990691159e+00,2.000000000000006217e+00
5.559790209790225646e+00,2.100000000000005862e+00
5.593123543123558861e+00,2.200000000000006839e+00
5.606293706293723034e+00,2.300000000000006928e+00
5.589976689976705160e+00,2.400000000000006573e+00
5.569813519813536118e+00,2.500000000000007105e+00
5.551981351981368107e+00,2.600000000000007638e+00
5.545804195804210579e+00,2.700000000000008171e+00
5.550000000000014921e+00,2.800000000000007816e+00
5.550000000000014921e+00,2.900000000000007905e+00
5.550000000000014921e+00,3.000000000000008882e+00
5.550000000000014921e+00,3.150000000000009237e+00
5.550000000000014921e+00,3.250000000000009770e+00
5.550000000000014921e+00,3.400000000000009237e+00
5.550000000000014921e+00,3.500000000000010658e+00
5.550000000000014921e+00,3.600000000000010747e+00
5.550000000000014921e+00,3.700000000000011724e+00
5.550000000000014921e+00,3.800000000000011813e+00
5.553146853146868622e+00,3.900000000000011458e+00
5.539976689976705337e+00,4.000000000000012434e+00
5.519813519813535407e+00,4.100000000000012079e+00
5.501981351981366508e+00,4.200000000000012612e+00
5.495804195804209868e+00,4.300000000000013145e+00
5.500000000000014211e+00,4.400000000000012790e+00
5.500000000000014211e+00,4.500000000000013323e+00
5.500000000000014211e+00,4.600000000000013856e+00
5.500000000000014211e+00,4.750000000000014211e+00
5.500000000000014211e+00,4.900000000000014566e+00
5.500000000000014211e+00,5.050000000000014921e+00
5.500000000000014211e+00,5.200000000000015277e+00
5.500000000000014211e+00,5.300000000000015810e+00
5.500000000000014211e+00,5.450000000000015277e+00
5.500000000000014211e+00,5.550000000000016698e+00
5.500000000000014211e+00,5.700000000000017053e+00
5.500000000000014211e+00,5.850000000000017408e+00
5.500000000000014211e+00,6.000000000000017764e+00
5.500000000000014211e+00,6.150000000000018119e+00
5.500000000000014211e+00,6.300000000000018474e+00
5.500000000000014211e+00,6.450000000000017941e+00
5.500000000000014211e+00,6.550000000000018474e+00
5.500000000000014211e+00,6.650000000000019007e+00
5.500000000000014211e+00,6.750000000000019540e+00
5.500000000000014211e+00,6.900000000000019007e+00
5.500000000000014211e+00,7.000000000000019540e+00
5.500000000000014211e+00,7.150000000000019895e+00
5.500000000000014211e+00,7.250000000000021316e+00
